id,siret,date_publi,date_disso,nom_asso,nom_asso_abrege,objet_social1,objet_social2,adresse,codepostal,commune,siteweb,autorisation_web,etat
W372019628,,2023-05-09,,LES PÉTILLANTES,LES PÉTILLANTES,011080,000000,4  RUE Jean Moulin  ,37520,LA RICHE,,0,A
W372019629,,2023-05-09,,IN4ALL,IN4ALL,005020,000000,34  RUE Plantin  ,37000,TOURS,,0,A
W372019630,,2023-05-09,,SAINT HUBERT DE NITRAY,SAINT HUBERT DE NITRAY,013005,000000,LD Champ Breton  ,37110,AUZOUER-EN-TOURAINE,,0,A
W372019631,,2023-05-09,,LES COLONS DU DÉSERT,LES COLONS DU DÉSERT,020020,000000,66  RUE de Monts  ,37250,MONTBAZON,,0,A
W372019632,,2023-05-09,,PINDRE HAUT EN COULEUR,PIHEC,011400,000000,12  RUE de la Basse Vennetière  ,37250,MONTBAZON,,0,A
W372019633,,2023-05-09,,TOUE 7,TOUE 7,011125,000000,64  RUE des Guessières  ,37390,CHANCEAUX-SUR-CHOISILLE,,0,A
W372019634,,2023-05-16,,ASSOCIATION POUR LA RÉUSSITE DE SON INTÉGRATION ET SON PROJET ACADÉMIQUE (APRIPA),APRIPA,015065,000000,60  RUE du Plat d'Etain  ,37000,TOURS,,1,A
W372019635,,2023-05-16,,ADNA BASSA BATI MPO'O DE TOURS (A.B.B.M DE TOURS),A.B.B.M DE TOURS,006100,000000,3  RUE de Lille  ,37100,Tours,,1,A
W372019636,,2023-05-09,,FURTIF,FURTIF,006100,000000,6  RUE du Pré de l'Essart  ,37550,SAINT-AVERTIN,,0,A
W372019637,,2023-05-16,,ASSOCIATION DE CHASSE DE LA HUCHONNIÈRE,LA HUCHONNIÈRE,013005,000000,22  RUE de Vaubrahan  ,37110,CHÂTEAU-RENAULT,,0,A
W372019638,,2023-05-16,,ASSOCIATION DES ARTS GASTRONOMIQUES INTERDISCIPLINAIRES OENOLOGIQUES ET SONORES (ADAGIOES),ADAGI?S,050000,000000,Studio N°436 Résidence les Garennes Parc de Grandmont 8  RUE Gaspard Coriolis  ,37200,TOURS,,0,A
W372019639,,2023-05-16,,LA COURSE DES COPAINS,LCDC,011160,000000,LD le Grand Rouchou  ,37380,SAINT-LAURENT-EN-GATINES,,0,A
W372019640,,2023-05-16,,PINK TOURS ANGELS,PINK TOURS ANGELS,014050,000000,6  RUE du Rivau  ,37300,JOUÉ-LÈS-TOURS,,0,A
W372019641,,2023-05-16,,JUNIOR ASSOCIATION SWEET 17,J.A. SWEET 17,050000,000000,6  LD Tiercerie  ,37110,MORAND,,0,A
W372019642,,2023-05-16,,COLLECTIF TÉLÉ CASCADE,COLLECTIF TÉLÉ CASCADE,006030,000000,38  RUE Henri Martin  ,37000,TOURS,,0,A
W372019643,,2023-05-16,,NLS ESPORT,NLS ESPORT,005020,000000,11  RUE Henri Barbusse  ,37700,Saint-Pierre-des-Corps,www.nls-e-sport.fr,1,A
W372019644,,2023-05-16,,LA COMMUNE LIBRE CHANZY,LA COMMUNE LIBRE CHANZY,009030,000000,76  RUE du Général Chanzy  ,37000,TURS,,0,A
W372019645,,2023-05-16,,POMONA,POMONA,020015,000000,2  RUE Olivier Debré  ,37200,TOURS,,0,A
W372019646,,2023-05-23,,AFRIQUE SANS FRONTIÈRES 37,AFRIQUE SANS FRONTIÈRES 37,014040,000000,appartement 117 29  RUE Charles Tellier  ,37300,JOUÉ-LÈS-TOURS,,0,A
W372019647,,2023-05-23,,BANNOCK BURN - PAYS DE LOIRE,BANNOCK BURN - PAYS DE LOIRE,009000,000000,8  RUE Blanco  ,37000,Tours,,0,A
W372019648,,2023-05-23,,JARDEL JULIANA ANAELLE ASSOCIATION - TENDRE LA MAIN AUX AUTRES,JARDEL JULIANA ANAELLE ASSOCIATION ...,014000,000000,1  RUE Jean-Baptiste Martin  ,37000,Tours,,0,A
W372019649,,2023-05-30,,LE TEMPS DES FAMILLES SAINT-BRANCHS,LE TEMPS DES FAMILLES SAINT-BRANCHS,009000,000000,1  ALL des charmes  ,37320,Saint-Branchs,,0,A
W372019650,,2023-05-30,,LA TEAM MOTOROUZ',LA TEAM MOTOROUZ',011000,000000,11  RUE du chateau d'eau  ,37360,Rouziers-de-Touraine,,0,A
W372019651,,2023-05-30,,BOURG JOLI CLASSIC,BOURG JOLI CLASSIC,050000,000000,12  RUE du Bourg Joly  ,37230,FONDETTES,,0,A
W372019652,,2023-05-30,,GROUPEMENT REPRÉSENTATIF DES ÉLU.E.S ÉTUDIANT.E.S DE L'UNIVERSITÉ DE TOURS,GREEUT,015065,000000,10  BD Tonnellé  ,37000,TOURS,,0,A
W372019653,,2023-05-30,,TAALUF HUMANITAIRE INTERNATIONAL ORGANIZATION,TAALUF ORGANIZATION,020020,000000,15  RUE de la Cerisaie  ,37700,SAINT-PIERRE-DES-CORPS,,0,A
W372019654,,2023-05-30,,BULLES,BULLES,024050,000000,60  RUE Rabelais  37400,37400,AMBOISE,,0,A
W372019655,,2023-05-30,,GROOVY SPOT,GROOVY SPOT,006100,000000,4 bis  RUE Paul-Louis Courier  ,37000,TOURS,,0,A
W372019656,,2023-05-30,,NOA PROD,NOA PROD,006030,000000,11  PL Ferdinand Lefèvre  ,37210,ROCHECORBON,,0,A
W372019657,,2023-05-30,,LE TARABISCOT - ATELIER PARTAGÉ BOIS,ATELIER TARABISCOT,006090,000000,Centre Social Maryse Bastié 4  PL René Fonck  ,37000,TOURS,www.facebook.comatelier.tarabiscot,0,A
W372019658,,2023-05-30,,COMPAGNIE AU TOURS DE PARIS,AU TOURS DE PARIS,006100,000000,7  RUE de Sainte-Radegonde  37100,37100,TOURS,,0,A
W372019659,,2023-05-30,,NEUILLÉ-PONT-PIERRE VOLLEYBALL,NPPVB,011085,000000,4   Terres de Montifray  ,37360,BEAUMONT-LOUESTAULT,,0,A
W372019660,,2023-05-30,,C'EST LA JAZZ LIFE,C'EST LA JAZZ LIFE,006030,000000,41  RUE Lavoisier  ,37000,Tours,,0,A
